RatingScale_InterfejsUżytkownikaWAplikacjachMobilnychJestDlaMnieBardzoWażny_Rating,RatingScale_DoświadczenieUżytkowaniaJakieOferujeAplikacjaJestDlaMnieBardzoWażne_Rating,RatingScale_PobieramTylkoTeAplikacjeKtóreUważamZaWażne_Rating,RatingScale_WolęTrybJasnyNiżCiemnyWAplikacjachMobilnychwebowych2_Rating,RatingScale_ToJakieLogoPosiadaAplikacjaMobilnaJestDlaMnieBardzoWażne_Rating,RatingScale_PowiadomieniaZAplikacjiMobilnychSąDlaMnieIrytujące_Rating,RatingScale2_LubięPoznawaćKultureLokalnychSpołecznościPodczasPodróży_Rating,RatingScale2_LubięWyszukiwaćIUczestniczyćWLokalnychWydarzeniachWKtórychBiorąUdziałMieszkańcy2_Rating,RatingScale2_LubięPoznawaćLokalnąKulturęPodczasPodróży2_Rating,RatingScale2_PodczasPodróżyStaramSięDowiedziećHistorczynychFaktówNaTematMiastaLubMieszkającejTamSpołeczności2_Rating,RatingScale3_JeżeliChodziOMediaSpołecznościoweInstagramFacebookLinkedInItpToJestemOsobąKtóraDodajeDużoTreściZCodziennegoŻyciaNaSwojeSociale2_Rating,RatingScale3_UważamŻePodróżujęCzęściejWCeluPromowaniaMojejAktywnościNaMediachSpołecznościowychOrazPrzyciąganiaUwagiZnajomychIPotencjalnychNowychObserwujących2_Rating,RatingScale3_MyślęŻeMediaSpołecznościoweMająWpływNaToŻePublikujęWięcejPostówStoryIRelacjiPodczasPodróżyAbyLepiejPochwalićSięMoimiDoświadczeniamiPodróżniczymi_Rating,RatingScale3_AktywnieUdostępniamZdjęciaIFilmyZPodróżyPodczasJejTrwaniaLubPoJejZakończeniu2_Rating,RatingScale3_MyślęŻePublikowanieWMediachSpołecznościowychZachęcaInnychUżytkownikówDoWybraniaPodobnychCelówPodróży2_Rating,RatingScale4_WiemJakIGdziePoszukiwaćCiekawychMiejscDoOdwiedzeniaWTrakcieIPrzedPodróżą2_Rating,RatingScale4_CzęstoPrzeglądamInteresująceMiejscaWartęUwagiWMediachSpołecznościowych2_Rating,RatingScale4_UważamŻeZdobywanieWiedzyOPodróżachZaPośrednictwemMediówSpołecznościowychJestWystarczająceAbyZnaleźćPotrzebneInformacjeDoZaplanowaniaPodróży_Rating,RatingScale4_UważamŻeTreściGenerowanePrzezUżytkownikówNaInstagramieFacebookuITikTokuSąWystarczająceDoZnalezieniaDobrychIWiarygodnychInformacji2_Rating,RatingScale4_UważamŻeMediaSpołecznościoweOdgrywająWażnąRolęWWyszukiwaniuInformacjiIPodejmowaniuDecyzjiPrzezTurystówWKontekściePlanowaniaPodróży2_Rating,RatingScale4_PoszukiwanieInformacjiOPodróżachMożeByćPrzedstawioneWSposóbBardziejPrzystępnyIAtrakcyjnyPonieważWyszukiwanieIchWInternecieZajmujeWieleCzasuANieWszystkieInformacjeSąŁatwoDostępneWJednymMiejscu2_Rating,RatingScale4_RozważałbymSkorzystanieZMobilnejAplikacjiDoPlanowaniaPodróżyWCeluUzyskaniaRekomendacjiDotyczącychAktywnościPobliskichDobrychRestauracjiLubInformacjiNaTematZakwaterowaniaPodczasPodróży2_Rating,RatingScale5_KorzystamZInternetowychSerwisówPodróżniczychOrazForówNaPlatformachMediówSpołecznościowychAbySzukaćPoradIDzielićSięWłasnymiDoświadczeniamiZPodróży2_Rating,RatingScale5_UdałoMiSięOdwiedzićKilkaCiekawychMniejPopularnychMiejscKtóreZostałySprawdzoneOsobiścieDziękiRekomendacjomIInspiracjomZMediówSpołecznościowych2_Rating,RatingScale5_PodczasPodróżyCzęstoPojawiająSięReklamyAtrakcjiIMiejscDostępnychWOkolicyOparteNaMojejLokalizacji2_Rating,RatingScale5_KorzystamCzęstoZAplikacjiMobilnychKtórePomagająWTworzeniuWłasnejPodróżyPoprzezZnalezienieNowychMiejscWartychOdwiedzeniaIOparcieNaNichWłasnegoPlanuPodróży_Rating,RatingScale5_PodczasWyjazduBędęAktywnieUdostepniaćZdjęciaOrazRelacjeNaSwojeSocialMedia2_Rating,RatingScale5_PotrafięPrzygotowaćPrzejrzystyIPrzyjaznyPlanPodróżyKtóryPozwoliInnymOdkryćFascynująceIWartościoweMiejscaWarteOdwiedzenia2_Rating,RatingScale5_MyślęŻeIstniejePotrzebaStworzeniaBardziejRozbudowanegoSerwisuSpołecznościowegoKtórySkupiałbyLudziZainteresowanychTworzeniemOdkrywaniemDodawaniemTrasPodróżyIOpiniiZRóżnychMiejscNaŚwiecie2_Rating,RatingScale6_ZawszeTrzymamSięOkreslonegoBudżetuIStaramSięGoNiePrzekroczyć2_Rating,RatingScale6_WyobraźSobieŻeJedzieszDoHoteluNaKtóryWydałeśłaś2000ZłKiedyPrzyjeżdżaszIPrzygotowujeszSięDoZameldowaniaRecepcjonistaMówiJeśliZapłacisz200ZłWięcejMożeszUlepszyćApartamentNaApartamentZWidokiemNaMorzeZdecydowanieBymUlepszyłłaApartamentNaTenZWidokiemNaMorze2_Rating,RatingScale6_WiększośćBudżetuWyznaczonegoNaPodróżPrzeznaczamNaApartament2_Rating,RatingScale6_WiększośćMojegoBudżetuPrzeznaczamNaZwiedzanieOrazDoświadczeniaKulturowe2_Rating,RatingScale6_PodczasPodróżyJadamTylkoWRestauracjach2_Rating,RatingScale6_UwzględniamWSwoimBudżecieMiejsceNaSpontaniczneZakupy2_Rating,RatingScale7_WyjazdyDoInnychKrajówmiastWzbudzająWeMniePozytywnyNastrój_Rating,RatingScale7_WakacjePozwalająMiZapomniećOCodziennejRutynieIProblemach_Rating,RatingScale7_WolęPodróżowaćDoTychSamychMiejscMiastHoteliIRestauracjiGdyWybieramCelPodróżyNaNastępnyRok2_Rating,RatingScale7_JeśliMiałbymWybieraćMiędzyZnanymMiejscemNaWakacjeANowąNieznanąDestynacjąKtóraJestWBardziejPrzystępnejCenieNadalWybrałbymTęSamąSprawdzonąDestynację2_Rating,RatingScale7_KluczowymAspektemGwarantującymSatysfakcjęZPodróżyDlaMnieJestPoczucieBezpieczeństwa2_Rating,RatingScale7_NajbardziejWspominamZWakacjiTeAtrakcjeKtóreOrganizujęSobieSamodzielnie2_Rating,RatingScale8_BiletySamolotowe_Rating,RatingScale8_Hotelzakwaterowanie_Rating,RatingScale8_Budżet_Rating,RatingScale8_CałyPrzebiegPodróżyOrazOdwiedzoneMiejsca_Rating
3,4,5,1,3,5,5,3,5,5,2,1,1,1,3,4,2,1,1,2,2,4,2,2,2,2,2,2,3,2,4,2,3,4,4,3,4,3,3,4,4,3,3,3,3
4,4,4,4,3,5,4,4,5,4,2,1,1,1,3,4,3,2,2,3,4,3,2,2,2,2,2,2,2,3,4,2,4,2,4,4,4,3,3,4,2,3,3,3,3
5,4,3,4,3,4,5,5,5,5,1,1,1,1,3,4,3,1,1,3,2,3,3,3,5,3,1,3,3,4,4,2,3,2,4,3,3,1,1,2,4,1,1,1,1
5,5,4,2,3,3,5,5,5,2,2,3,5,4,4,4,5,5,4,5,4,5,2,3,4,4,4,4,4,1,1,2,2,3,3,5,5,2,2,4,3,1,1,1,1
5,3,2,3,2,4,5,3,5,4,4,1,2,4,3,4,4,4,3,4,4,4,3,2,4,4,4,4,4,2,5,5,2,3,4,4,5,1,1,3,2,1,1,1,1
4,4,4,4,3,4,4,4,4,4,3,2,2,2,3,4,3,3,2,3,3,4,4,3,3,4,2,4,3,3,3,2,4,3,4,3,3,2,2,4,4,3,3,3,3
3,4,5,5,4,4,5,4,4,4,2,1,1,1,2,4,4,3,4,4,4,4,3,4,3,3,3,4,4,3,4,2,4,4,4,5,4,3,4,5,5,1,1,1,3
3,4,5,4,3,5,3,4,3,2,2,2,2,1,3,3,4,3,4,4,4,4,3,4,3,2,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,3,3,1,3
5,3,5,1,5,5,5,5,5,4,1,1,1,1,4,4,1,1,3,4,3,3,4,4,4,3,1,4,1,4,4,3,4,1,4,4,4,2,1,4,4,3,3,1,3
4,3,5,2,1,5,5,5,5,5,1,1,1,1,3,4,2,1,2,3,3,4,4,3,4,3,1,3,4,3,4,2,4,3,1,5,5,3,1,3,3,3,3,3,3
5,5,2,3,1,4,4,4,4,4,1,1,3,2,4,5,5,4,2,5,2,3,4,5,2,3,1,4,4,3,3,1,5,5,5,5,5,3,2,1,5,1,1,1,1
5,4,5,1,4,4,5,4,5,5,1,1,1,1,4,4,2,2,1,1,2,4,5,2,2,2,1,3,3,3,4,3,3,3,4,5,5,1,5,4,5,1,1,1,1
4,5,5,3,3,3,5,4,4,4,3,2,2,1,3,4,3,2,2,3,4,5,4,3,4,4,1,4,4,3,4,3,4,4,4,5,4,2,4,5,5,1,1,1,1
4,4,4,4,3,5,5,5,5,4,2,2,3,3,3,4,4,3,2,4,4,4,3,4,3,2,3,3,4,3,4,4,3,3,4,5,5,2,2,4,3,1,1,1,1
5,5,4,4,3,3,3,3,3,4,3,2,3,5,4,4,4,4,3,3,4,4,4,4,3,2,2,4,4,4,5,3,2,4,3,4,5,3,2,5,2,2,3,3,3
4,4,4,2,3,4,4,4,4,4,2,2,4,2,3,4,4,3,2,4,3,4,4,4,4,2,3,4,4,2,5,2,4,4,5,4,4,2,2,4,3,1,1,1,1
4,3,5,5,3,3,4,3,4,5,1,1,1,1,2,3,2,4,2,2,3,4,2,2,3,2,1,4,2,2,5,2,4,2,3,5,5,3,2,3,4,2,1,1,1
4,5,5,1,3,4,4,3,4,4,2,2,3,4,4,4,5,4,4,5,4,4,4,4,5,3,4,3,3,2,4,3,3,4,4,5,5,2,3,4,3,3,3,1,3
5,4,5,5,3,5,5,5,5,5,3,2,4,4,5,4,4,4,4,4,5,5,5,5,4,2,4,4,5,2,5,2,4,4,3,5,5,1,1,5,3,3,3,3,1
3,3,4,5,2,5,4,3,3,4,1,2,2,2,2,3,2,2,1,2,4,3,2,3,3,2,1,3,4,3,3,2,4,2,4,3,3,3,3,3,4,4,4,4,4
3,4,5,1,3,4,5,4,5,3,1,1,1,1,3,4,3,2,2,3,3,4,3,2,2,2,1,4,3,4,3,3,4,4,4,4,2,2,3,5,5,1,1,1,1
4,5,5,4,3,3,5,4,5,4,1,1,1,1,4,4,3,2,1,3,3,4,1,3,3,4,1,3,4,4,4,4,3,2,3,5,5,2,1,4,3,3,3,1,3
4,5,4,2,4,3,4,3,4,4,2,1,2,2,4,4,3,2,3,4,4,5,3,4,4,3,2,3,4,3,3,3,3,2,4,4,4,2,3,4,2,3,3,3,3
4,4,5,1,2,4,4,2,4,2,1,1,4,4,4,4,4,2,2,2,3,5,4,2,4,1,4,2,4,1,2,2,2,2,4,5,5,2,2,4,3,3,3,3,3
3,3,4,4,2,2,5,5,5,5,2,2,2,1,3,5,3,2,1,2,3,4,4,3,4,4,2,4,4,4,4,2,5,2,4,5,5,2,3,4,5,4,1,1,1
4,4,5,5,3,4,4,3,4,4,1,1,1,3,4,4,2,3,2,4,4,4,2,4,3,2,2,4,4,2,4,3,3,2,4,4,4,3,2,3,3,1,1,1,1
3,3,5,3,2,3,5,5,5,5,2,1,4,4,4,5,4,4,2,3,3,4,4,4,4,4,3,4,4,4,4,2,4,2,4,5,5,2,2,4,3,1,1,1,1
5,3,5,5,1,3,5,4,5,5,1,1,1,1,5,3,2,1,1,4,3,4,3,4,3,3,1,3,3,2,3,2,3,1,5,4,4,2,1,4,4,3,3,1,1
3,4,5,5,3,2,4,3,3,5,1,1,1,1,3,4,1,2,2,4,4,3,1,1,3,1,1,3,3,2,1,1,3,5,5,4,5,3,5,5,4,4,1,1,1
3,4,5,5,4,2,5,4,4,4,1,1,1,1,4,4,4,4,2,3,4,4,3,3,3,3,3,3,4,4,3,2,4,2,4,4,4,5,4,5,4,3,3,3,4
4,4,4,3,3,4,5,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,3,4,2,4,4,4,3,4,4,4,1,1,2,3
4,3,4,2,4,2,4,3,4,4,3,1,4,3,5,5,4,4,2,4,4,4,4,4,2,2,3,2,4,4,2,2,4,2,4,4,4,4,3,3,4,1,1,1,1
5,5,3,1,3,5,4,4,4,3,2,2,4,3,4,4,4,3,4,4,4,4,4,3,4,2,3,3,3,4,2,4,2,2,3,4,4,3,3,4,4,4,4,4,4
3,3,4,4,3,4,4,4,4,4,3,2,2,3,3,4,4,2,2,2,4,3,3,3,3,3,2,2,3,4,2,2,2,2,2,3,4,3,3,3,4,4,1,1,1
4,5,5,4,3,4,4,4,5,4,1,1,1,1,4,5,4,4,4,4,4,4,3,4,3,4,2,3,4,4,2,2,4,2,4,5,5,2,2,5,3,1,1,1,1
5,4,4,3,4,5,4,4,4,4,1,1,1,1,3,4,4,4,4,4,4,5,4,3,4,4,1,3,3,3,4,3,3,2,4,3,4,3,2,5,3,3,3,3,3
5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
4,4,4,4,4,4,4,4,4,4,3,3,1,5,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,2,2,3,2
4,4,4,4,2,5,5,5,5,5,2,1,1,1,1,5,1,1,1,1,4,4,2,4,2,2,1,4,4,5,4,4,4,2,5,5,5,1,1,5,2,2,2,1,1
5,5,4,5,3,5,4,3,5,3,2,2,4,4,4,4,3,2,2,4,4,4,4,4,4,1,4,2,4,3,4,3,4,3,5,5,5,1,2,5,2,3,3,3,3
4,4,4,4,1,4,4,4,4,4,1,1,1,1,4,4,4,4,1,4,1,4,1,1,1,1,1,1,4,4,4,1,4,5,4,4,4,1,2,4,1,3,2,1,1
4,4,4,4,3,4,4,4,4,4,1,1,1,1,4,4,4,2,2,4,4,4,2,4,3,2,2,2,3,4,3,4,2,2,4,4,4,2,2,4,4,3,2,1,3
3,4,5,4,3,4,5,4,5,5,1,1,1,1,3,4,1,1,1,1,3,4,1,2,2,3,1,2,3,4,4,2,4,2,4,5,5,3,4,4,2,2,2,1,2
4,5,4,5,3,5,5,4,5,5,1,1,1,4,3,4,5,4,4,4,4,4,4,3,4,3,3,4,3,4,4,2,5,2,5,5,5,4,3,4,2,2,2,2,2
4,3,4,4,3,2,4,4,4,4,3,3,2,2,4,3,4,2,2,3,4,3,3,2,4,3,2,3,4,4,3,3,3,2,4,4,4,2,3,4,3,2,2,3,2
3,2,4,4,2,3,5,4,5,4,1,1,1,1,2,4,3,2,3,2,3,4,3,4,3,4,1,2,3,2,3,2,5,4,4,3,4,3,3,5,3,3,3,3,3
5,4,5,5,3,5,5,5,5,5,1,1,2,3,4,5,5,4,4,4,4,4,3,3,3,4,2,4,4,2,4,4,3,2,4,5,5,1,1,5,5,1,1,1,1
4,3,5,1,3,2,4,4,4,4,1,1,1,1,4,2,4,2,2,4,4,4,2,3,3,2,1,4,4,2,4,3,4,3,4,4,4,3,2,4,4,4,4,4,4
4,4,4,3,3,3,5,5,5,5,2,1,3,4,4,4,4,2,2,4,3,4,4,4,3,3,4,4,3,3,4,2,4,3,4,5,5,2,2,4,4,1,1,1,1
